KOI-1843.03;0;0.0014;0.054;0.1768913
Kepler-9 b;0;0.25;0.84;19.22418
Kepler-9 c;0;0.17;0.82;39.03106
Kepler-9 d;0;0.022;0.147;1.592851
WASP-124 b;0;0.6;43854;3.37265
WASP-82 b;0;43854;1.67;2.705782
Gliese 1214 b;0;0.0195;0.2525;1.58040417
Kepler-131 b;0;0.05074;0.219624;16.092
Kepler-131 c;0;0.025952;0.076549;25.5169
CoRoT-24 c;0;0.088;0.44;11.759
WASP-108 b;0;0.892;1.284;2.6755463
K2-34 b;0;1.78;1.35;2.995607
Kepler-101 b;0;0.161;0.515;3.4876812
HATS-28 b;0;0.672;1.194;3.1810781
OGLE-TR-10 b;0;0.68;1.72;3.10129
Kepler-128 b;0;0.00409;0.10298;44089
Kepler-128 c;0;0.00472;0.10298;22.804
WASP-11 b;2;0.46;1.045;3.722469
HATS-18 b;0;1.98;1.337;0.8378434
KELT-16 b;0;2.75;1.415;0.9689951
HD 106315 b;0;0.025;0.199;9.5521
HD 106315 c;0;0.063;0.352;21.0576
WASP-62 b;0;0.57;1.39;4.411953
WASP-14 b;2;7.341;1.281;2.2437661
WASP-127 b;0;0.18;1.37;4.178062
KOI-1299 b;2;4.87;43842;52.50097
KELT-10 b;0;0.679;1.399;4.166286
Kepler-8 b;0;0.59;1.42;3.52254
HAT-P-56 b;0;43879;1.466;2.7908327
WASP-49 b;0;0.378;1.115;2.7817387
Kepler-44 b;0;1;43839;3.2467293
CVSO 30 b;0;43984;1.91;0.448413
Kepler-94 b;0;0.034099;0.319867;2.50806
wasp-92 b;0;0.805;1.461;2.1746742
CoRoT-21 b;0;43887;43833;2.72474
WASP-33 b;0;4.59;1.438;1.21986967
Kepler-91 b;0;0.66;43834;6.24668005
Kepler-277 b;0;0.27619;0.2661;17.324
Kepler-277 c;0;0.20856;0.3062;33.006
WASP-13 b;0;0.5;1.407;4.3530135
WASP-135 b;0;43839;43833;1.4013794
Kepler-45 b;0;0.505;0.96;2.455239
WASP-121 b;0;1.183;1.807;1.2749255
WASP-70 A b;2;0.59;1.164;3.7130203
WTS-1 b;0;43922;1.49;3.35
CoRoT-2 b;0;43921;1.465;1.7429964
XO-5 b;0;1.077;43833;4.1877537
EPIC 201367065 b;0;0.0264;0.194;10.05449
Qatar-2 b;0;2.487;1.144;1.3371182
Kepler-102 e;0;0.028091;0.202309;16.1457
Kepler-102 d;0;0.011954;0.107534;10.3117
HAT-P-37 b;0;1.169;1.178;2.797436
EPIC 218916923 b;0;0.381;0.812;28.38229
WASP-8 b;2;2.244;1.038;8.158715
HAT-P-29 b;0;0.778;1.107;5.72318
WASP-140 b;0;2.44;1.44;2.2359835
Kepler-434 b;0;2.86;43843;12.8747099
HAT-P-22 b;0;2.147;43838;3.21222
HATS-10 b;0;0.526;0.969;3.312846
HATS-5 b;0;0.237;0.912;4.763387
KOI-206 b;0;2.82;1.45;5.33408384
WASP-98 b;0;0.83;43831;2.96264
TrES-4 A b;2;0.494;1.838;3.55392771
HD 17156 b;0;3.191;1.095;21.2163979
WASP-31 b;0;0.478;1.537;3.405909
WASP-23 b;0;0.884;0.962;2.9444256
CoRoT-26 b;0;0.52;43856;4.20474
WASP-87 b;0;43879;1.385;1.682795
HATS-31 b;0;0.88;1.64;3.37796
Uranus;0;0.0457;0.362775;30687.153
Neptune;0;0.053953;0.35221925;60190.03
Pluto;0;7.7581378E-06;0.0164379;90553.02
WASP-35 b;0;0.72;1.32;3.161575
HR 8799 b;0;5;0.7;166510
HR 8799 c;0;7;1;83255
HR 8799 d;0;7;43831;41628
HR 8799 e;0;7;1;20816
HAT-P-36 b;0;1.832;1.264;1.327
Kepler-15 b;0;0.66;0.96;4.942782
HAT-P-6 b;0;1.057;1.33;3.853003
Kepler-113 b;0;0.036805;0.165857;4.754
Kepler-454 b;0;0.02152;0.2114;10.57375339
HAT-P-27 b;0;0.62;43832;3.039577
Kepler-29 b;0;0.014184;0.328069;10.33
Kepler-29 c;0;0.012579;0.26427;13.2907
KOI-372 b;0;43915;0.882;125.63243
WASP-100 b;0;43864;1.69;2.849375
HAT-P-52 b;0;0.818;1.009;2.7535953
HAT-P-42 b;0;0.975;1.277;4.641876
CoRoT-16 b;0;0.53;43847;5.35227
WASP-50 b;0;1.47;43845;1.955096
WASP-102 b;0;0.624;1.259;2.709813
HD 209458 b;0;0.714;1.38;3.52474859
KOI-135 b;0;43913;43852;3.02409309
WASP-72 b;0;1.41;43831;2.21672
WASP-91 b;0;1.34;43833;1.798581
WASP-12 b;2;1.404;1.736;1.0914222
OGLE-TR-132 b;0;43847;1.227;1.689868
WASP-84 b;0;0.7;0.975;8.5234865
Kepler-98 b;0;0.011167;0.181349;1.54168
WASP-104 b;0;1.272;1.137;1.7554137
CoRoT-20 b;0;43945;0.84;44076
TrES-2;2;1.253;1.169;2.470613402
HATS-23 b;0;1.47;1.86;2.1605156
WASP-2 A b;2;0.914;1.117;2.15222144
WASP-109 b;0;0.91;1.443;3.3190233
K2-39 b;0;0.125;0.73;4.60543
beta Pic b;0;11;1.65;8167
HD 149026 b;0;0.356;0.718;2.8758916
WASP-90 b;0;0.63;1.63;3.916243
KELT-12 b;0;0.95;1.79;5.03145
KOI-1894.01;0;0.18;0.66;5.28789787
KOI-188 b;0;0.25;0.978;3.79701816
WASP-18 b;0;10.43;1.165;0.9414518
WASP-65 b;0;1.55;1.112;2.3114243
WASP-7 b;0;0.96;1.33;4.9546416
Qatar-1 b;0;1.33;1.164;1.42002504
WASP-85 A b;2;1.265;43854;2.6556777
HD 219134 b;0;0.012;0.1433;3.0931
KOI-523.02;0;0.00535;0.26428;36.855
KOI-523.01;0;0.01982;0.64703;49.412
CoRoT-13 b;0;1.308;0.885;4.03519
WASP-94 A b;2;0.452;1.72;3.9501907
WASP-97 b;0;1.32;43843;2.07276
POTS-1 b;0;2.31;0.941;3.1606296
KOI-1873.02;0;0.07046;0.2096;34.921
KOI-1873.01;0;0.10286;0.4921;71.312
WASP-22 b;0;0.588;1.158;3.5327313
HATS-30 b;0;0.706;1.175;3.1743516
JS 183 b;0;1.67;0.32;10.134588
WASP-41 b;0;0.94;43848;3.052404
Kepler-59 b;0;0.003828;0.100243;11.8681707
Kepler-59 c;0;0.012848;0.180438;17.9801235
HAT-P-33 b;2;0.763;1.827;3.474474
GJ 1132 b;0;0.005096;0.105711;1.62893
WASP-57 b;0;0.672;0.916;2.838971
WASP-52 b;0;0.46;43857;1.7497798
HATS-16 b;0;43917;43833;2.686502
HATS-19 b;0;0.427;1.66;4.569673
WASP-141 b;0;2.69;43851;3.310651
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;komment;;;
;komment;;;
;komment;;;
;komment;;;
;komment;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
CoRoT-6 b;0;2.96;1.166;8.886593
HATS-25 b;0;0.613;26.jan;4.2986432
WASP-53 b;0;05.febr;02.jan;03.márc
Kepler-50 b;0;0.015963;0.155832;7.81254
Kepler-50 c;0;0.026041;0.1977527;9.37647
Kepler-424 b;0;03.jan;0.89;3.3118644
CoRoT-14 b;0;06.júl;09.jan;1.51214
WASP-75 b;0;07.jan;27.jan;2.484193
KELT-15 b;0;0.91;1.443;3.329441
Kepler-100 b;0;0.0231;0.120292;6.88705
Kepler-406 b;0;0.019975;0.130316;2.42629
Kepler-406 c;0;0.008525;0.077461;4.62332
WASP-54 b;0;0.636;1.653;3.6936411
WASP-46 b;0;2.101;31.jan;1.43037
WASP-37 b;0;1.696;1.136;3.577471
Kepler-7 b;0;0.44;1.62;4.885525
HAT-P-14 b;2;02.febr;02.jan;4.627657
EPIC 201577035 b;0;0.085;0.3426;19.3044
;komment;;;
KOI-314 b;0;0.006197;0.109083;13.7813
KOI-314 c;0;0.002013;0.11045;23.0881
Kepler-138 b;0;0.000208;0.04757;10.3126
Kepler-422 b;0;0.43;15.jan;7.8914483
HD 97658 b;0;0.023754977;0.213245;9.4903
WASP-88 b;0;0.56;07.jan;4.954
EPIC 211391664 b;0;0.101;0.38;10.13675
KELT-18 b;0;18.jan;1.57;2.8717518
KELT-6 b;0;0.442;18.jan;7.845582
HAT-P-16 b;2;4.193;19.jan;2.7759712
XO-2N b;2;0.597;0.973;2.61585922
OGLE-TR-111 b;0;0.54;1.077;4.01451
HAT-P-65 b;0;0.527;1.89;2.6054552
WASP-1 b;2;0.854;1.483;2.5199464
WASP-76 b;0;0.92;1.83;1.809886
HAT-P-26 b;0;0.059;0.565;4.234516
WASP-3 b;2;06.febr;1.454;1.8468372
HAT-P-24 b;2;0.685;1.242;3.35524
CoRoT-7 b;0;0.0151;0.15;0.853585
2M 2206-20 b;0;30;03.jan;8686
WASP-123 b;0;0.92;1.327;2.977641
HAT-P-13 b;0;0.85;28.jan;2.916243
HATS-34 b;0;0.941;1.43;2.1061607
;komment;;;
;komment;;;
;komment;;;
;komment;;;
Kepler-6 b;0;0.67;03.jan;3.234723
KELT-3 b;0;1.462;1.358;2.70339
HATS-35 b;0;1.222;1.464;1.8209933
K2-33 b;0;06.márc;0.451;5.42513
KELT-17 b;0;31.jan;1.525;3.0801716
KOI-192 b;0;0.29;23.jan;10.290994
HAT-P-39 b;0;0.599;1.571;3.54387
KOI-1474 b;0;05.febr;0.964;69.7546
CoRoT-23 b;0;08.febr;05.jan;3.6314
WASP-6 b;0;0.503;1.224;3.361006
WASP-19 b;0;1.168;1.386;0.78884
Kepler-75 b;0;01.okt;05.jan;8.8849116
CoRoT-28 b;0;0.484;0.955;5.20851
HAT-P-9 b;0;0.67;04.jan;3.922814
WASP-83 b;0;0.3;04.jan;4.971252
HATS-22 b;0;2.74;0.953;4.7228124
HAT-P-17 b;0;0.534;01.jan;10.338523
HATS-24 b;0;2.44;1.487;1.3484954
WASP-101 b;0;0.5;1.41;3.585722
Kepler-11 b;0;0.005977;0.164035;10.3039
Kepler-11 c;0;0.009028;0.261544;13.0241
Kepler-11 d;0;0.022964;0.283415;22.6845
Kepler-11 e;0;0.025166;0.380925;31.9996
;komment;;;
;komment;;;
;komment;;;
;komment;;;
Kepler-11 f;0;0.006291;0.226003;46.6888
WASP-119 b;0;23.jan;04.jan;2.49979
Kepler-48 b;0;0.015079;0.195019;4.7779803
Kepler-48 c;0;0.033219;0.286149;9.6739283
Kepler-48 d;0;0.024945;0.185906;42.8961
WASP-95 b;0;13.jan;21.jan;2.184673
HAT-P-53 b;0;1.484;1.318;1.9616241
Kepler-77 b;0;0.43;0.96;3.5787087
HATS-4 b;0;1.323;02.jan;2.516729
HATS-17 b;0;1.338;0.777;16.254611
HATS-3 b;0;1.138;1.697;3.547849
HAT-P-45 b;0;0.892;1.426;3.128992
Kepler-60 b;0;0.0129;0.196;7.132
Kepler-60 c;0;0.0151;0.212;8.9177
Kepler-60 d;0;0.012;0.232382;11.903
WASP-10 b;0;06.márc;08.jan;3.0927616
WTS-2 b;0;12.jan;1.363;1.0187068
WASP-103 b;0;1.47;1.603;0.925542
XO-3 b;0;11.79;1.217;3.1915239
HATS-11 b;0;0.85;1.51;3.6191613
HAT-P-35 b;0;1.054;1.332;3.6467
HAT-P-5 b;0;06.jan;1.252;2.788491
WASP-42 b;0;0.5;08.jan;4.9816872
WASP-79 b;0;0.9;07.jan;3.6623817
Kepler-17 b;0;2.47;1.33;1.4857108
WASP-24 b;0;1.032;1.104;2.3412083
;komment;;;
;komment;;;
;komment;;;
;komment;;;
WASP-60 b;0;0.514;0.86;4.3050011
OGLE-TR-56 b;0;03.jan;02.jan;1.211909
WASP-86 b;0;0.821;0.632;5.031555
WASP-17 b;0;0.486;1.991;3.735438
Kepler-87 b;0;02.jan;02.jan;114.7309
Kepler-87 c;0;0.020132;0.55954;192.363
HATS-6 b;0;0.319;0.998;3.3252725
WASP-106 b;0;1.925;1.085;9.289715
K2-105 b;0;0.094;0.32;8.266902
XO-1 b;0;0.9;1.184;3.9415128
WASP-74 b;0;0.95;1.56;2.13775
WASP-44 b;0;0.869;1.002;2.4238133
WASP-28 b;0;0.907;1.213;3.40883
WASP-132 b;0;0.41;0.87;7.133521
;komment;;;
HIP 116454 b;0;0.037182;0.23056;9.1205
HAT-P-28 b;0;0.626;1.212;3.257215
WASP-99 b;0;2.78;01.jan;5.75251
WASP-96 b;0;0.48;02.jan;3.4252602
WASP-131 b;0;0.27;22.jan;5.322023
WASP-55 b;0;0.57;03.jan;4.465633
WASP-16 b;0;0.855;1.008;3.1186009
HAT-P-50 b;0;1.35;1.288;3.1220109
Kepler-13 A b;2;28.szept;1.51;1.76358799
WASP-15 b;0;0.542;1.428;3.7520656
HAT-P-8 b;2;1.275;1.321;3.0763402
HAT-P-20 b;0;7.246;0.867;2.875317
HATS-13 b;0;0.543;1.212;3.0440499
Kepler-95 b;0;0.040894;0.311666;11.5231
Kepler-10 b;0;0.010475;0.133962;0.8374907
Kepler-10 c;0;0.054106;0.214156;45.294301
HATS-8 b;0;0.138;0.873;3.583893
K2-99 b;0;0.97;29.jan;18.249
WASP-34 b;0;0.59;22.jan;4.3176782
CoRoT-29 b;0;0.85;0.9;2.85057
WASP-4 b;0;1.1215;1.363;1.33823187
TrES-1 b;0;0.761;1.099;3.0300722
WASP-21 b;0;0.276;1.162;4.3225186
XO-4 b;0;1.615;1.615;4.1250707
Gliese 436 b;0;0.0727;0.3767;2.64385
Gliese 436 c;0;0.0008807961;0.06014599;1.3658
WASP-63 b;0;0.38;1.43;4.37809
Kepler-51 b;0;0.0066;0.633;45.154
Kepler-51 c;0;0.0126;0.803;85.312
Kepler-51 d;0;0.0239;0.865;130.194
KOI-195 b;0;0.34;09.jan;3.21751883
Kepler-97 b;0;0.011041;0.134873;2.58664
TrES-3 b;0;1.91;1.305;1.30618608
Kepler-56 b;0;0.0695;0.581;10.51057
Kepler-56 c;0;0.569;0.874;21.40239
Kepler-105 c;0;0.014483;0.14672;7.125939
KOI-423 b;0;19.jan;11.jan;21.087212
KOI-3681.01;0;02.ápr;1.97;217.8317626
WASP-118 b;0;0.514;1.44;4.0460435
HAT-P-51 b;0;0.309;1.293;4.2180278
WASP-81 b;0;0.729;1.429;2.7164762
Kepler-12 b;0;0.43;1.75;4.4379637
WASP-68 b;0;0.95;24.jan;5.084298
HAT-P-4 b;0;0.68;27.jan;3.0565114
KELT-8 b;0;0.867;1.86;3.24406
WASP-64 b;0;1.271;1.271;1.57329
WASP-29 b;0;0.244;0.792;3.922727
CoRoT-9 b;0;0.84;05.jan;95.2738
KELT-11 b;0;0.195;1.37;4.736529
XO-6 b;0;09.jan;07.febr;3.7650007
WASP-114 b;0;1.769;1.339;1.5487743
KIC 8435766 b;0;0.005882;0.109356;0.35500744
EPIC 203771098 b;0;0.066;0.52;20.88508
EPIC 203771098 c;0;0.085;0.723;42.36342
Gliese 3470 b;0;0.0432;0.346;3.3366487
55 Cnc e;2;0.0254;0.1746;0.7365515
Kepler-20 b;0;0.027;0.17;3.6961219
Kepler-20 c;0;0.051;0.27;10.854092
Kepler-20 d;0;0.06;0.25;77.61185
HAT-P-2 b;0;8.74;0.951;5.6334729
HAT-P-38 b;0;0.267;0.825;4.640382
Kepler-14 b;0;04.aug;1.136;6.790123
WASP-113 b;0;0.475;1.409;4.54216874538
Kepler-307 b;0;0.023403;0.29162;10.416
Kepler-307 c;0;0.011468;0.25516;13.084
HATS-14 b;0;07.jan;04.jan;2.766764
HATS-15 b;0;17.febr;1.105;1.74748753
Kepler-93 b;0;0.0126;0.1319;4.72673978
WASP-38 b;0;2.71;09.jan;6.87188
WASP-112 b;0;0.88;1.191;3.0353992
HATS-27 b;0;0.53;05.jan;4.637038
HATS-1 b;0;1.855;1.302;3.446459
WASP-142 b;0;0.84;1.53;2.052868
WASP-78 b;0;16.jan;1.75;2.17517656
CoRoT-25 b;0;0.27;08.jan;4.86069
HATS-2 b;0;1.345;1.168;1.354133
HAT-P-30 b;2;0.711;1.34;2.810595
WASP-66 b;0;2.32;1.39;4.086052
CoRoT-4 b;0;0.72;19.jan;9.20205
Qatar-3 b;0;4.31;1.096;2.5079204
CoRoT-27 b;0;10.39;1.007;3.57532
HAT-P-25 b;0;0.567;19.jan;3.652836
OGLE-TR-182 b;0;06.jan;1.47;3.9791
Kepler-106 c;0;0.032841;0.227826;13.5708
Kepler-106 e;0;0.035137;0.233294;43.8445
2M 2140+16 b;0;20;0.92;7340
TrES-5 b;0;1.778;1.209;1.4822446
WASP-39 b;0;0.28;27.jan;4.055259
Kepler-433 b;0;2.82;1.45;5.33408384
WASP-130 b;0;23.jan;0.89;11.55098
WASP-73 b;0;1.88;16.jan;4.08722
Kepler-57 b;0;0.015814;0.199575;5.7293196
Kepler-57 c;0;0.007759;0.141252;11.6092567
Kepler-41 b;0;0.56;04.jan;1.8555582
WASP-58 b;0;0.89;1.37;5.01718
WASP-20 b;0;0.313;1.458;4.8996285
OGLE-TR-113 b;0;26.jan;1.051;1.43247506
Kepler-289 b;0;0.023;0.192;34.545
PH3 c;0;0.013;0.239;66.0634
Kepler-289 c;0;0.415;1.034;125.8518
TRAPPIST-1 b;0;0.002674;0.098967;1.51087081
TRAPPIST-1 c;0;0.004341;0.096234;2.4218233
TRAPPIST-1 d;0;0.00129;0.070353;4.04961
TRAPPIST-1 e;0;0.00195;0.083658;6.099615
TRAPPIST-1 f;0;0.002139;0.095231;9.20669
TRAPPIST-1 g;0;0.004215;0.102704;12.35294
EPIC 220504338;0;28.jan;0.91;5.817712
HAT-P-32 b;2;0.941;2.037;2.150009
HAT-P-1 b;0;0.524;1.217;4.4652934
HAT-P-12 b;0;0.211;0.959;3.2130598
Kepler-99 b;0;0.019346;0.134873;4.60358
HAT-P-40 b;0;0.615;1.73;4.457243
CoRoT-18 b;0;3.47;31.jan;1.9000693
CoRoT-10 b;0;2.75;0.97;13.2406
K2-60 b;0;0.426;0.683;3.00265
EPIC 201546283 b;0;0.09156;0.397;6.77145
EPIC 201505350 c;0;0.05;0.434;11.90715
EPIC 201505350 b;0;0.138;0.691;7.9194
WASP-139 b;0;0.117;0.8;5.924262
WASP-26 b;0;1.028;1.281;2.7566004
WASP-110 b;0;0.51;1.238;3.7783977
WASP-117 b;0;0.2755;1.021;10.02165
K2-31 b;0;1.774;06.jan;1.25785
WASP-43 b;0;2.034;1.036;0.81347753
HAT-47 b;0;0.206;1.313;4.732182
WASP-93 b;0;1.47;1.597;2.7325321
KOI-3680.01;0;02.febr;0.95;141.24164672
CoRoT-11 b;0;2.49;1.39;2.994325
WASP-105 b;0;08.jan;0.96;7.87288
KOI-55 b;0;0.0014;0.068;0.2401
KOI-55 c;0;0.0021;0.078;0.34289
HATS-7 b;0;0.12;0.563;3.185315
HD 189733 A b;2;1.138;1.138;2.21857312
WASP-80 b;0;0.554;0.952;3.0678504
Kepler-33 c;0;0.00252;0.2916;13.17562
Kepler-33 d;0;0.01478;0.487547;21.77596
Kepler-33 e;0;0.02108;0.366343;31.7844
Kepler-33 f;0;0.03618;0.406441;41.02902
HAT-P-31 b;0;2.171;07.jan;5.005425
HATS-9 b;0;0.837;1.065;1.9153073
WASP-129 b;0;1;0.93;5.748145
K2-30 b;0;0.624;1.196;4.098507
KOI-806.03;0;0.035546;0.355;29.334
KOI-806.02;0;2.013248;1.120903;60.3251
KOI-806.01;0;0.072666;0.801947;143.213
K2-108 b;0;0.187;0.471;4.73401
HAT-P-11 b;0;0.081;0.452;4.887804
WASP-47 b;0;1.164;1.139;4.1591287
WASP-47 e;0;0.0384;0.1631;0.789597
WASP-47 d;0;0.0328;0.324;9.03081
CoRoT-22 b;0;0.0383853003178;0.435365216104;9.75598
KOI-1257 b;2;1.45;0.94;86.647661
Qatar-5 b;0;4.32;1.107;2.8792319
Kepler-89 b;0;0.0330298;0.1558328;3.743208
Kepler-89 c;0;0.04907293;0.39368287;10.423648
Kepler-89 d;0;0.33;1;22.342989
Kepler-89 e;0;0.11009952;0.59781473;54.32031
HAT-P-43 b;0;0.66;1.283;3.332688
WASP-45 b;0;1.007;16.jan;3.1260876
HD 80606 b;2;3.94;0.921;111.4273
Kepler-117 c;0;1.84;1.101;50.790391
Kepler-117 b;0;0.094;0.719;18.7959228
KOI-142 b;0;0.0055264;0.37647;10.9542
HATS-20 b;0;0.273;0.776;3.7992969
Kepler-26 b;0;0.016097;0.26792;12.282972
Kepler-26 c;0;0.019492;0.26792;17.251204
KOI-830 b;0;27.jan;08.jan;3.52563254
CoRoT-3 b;0;21.66;01.jan;4.2568
WASP-71 b;0;2.242;1.46;2.9036747
Kepler-297 c;0;0.13;0.66;74.920137
Kepler-36 b;0;0.01346359;0.13778;13.83988
Kepler-36 c;0;0.02541726;0.33526835;16.23855
HATS-29 b;0;0.653;1.251;4.6058749
WASP-107 b;0;0.12;0.94;5.72149
WASP-25 b;0;0.58;26.jan;3.76483
Kepler-338 b;0;0.0963;0.22236;13.726976
Kepler-338 e;0;0.027;0.139;9.34149
WASP-157 b;0;0.576;1.045;3.9516205
KOI-183 b;0;0.595;1.192;2.6843285
CoRoT-5 b;0;0.467;1.388;4.0378962
WASP-69 b;0;0.26;1.057;3.8681382
HATS-26 b;0;0.65;1.75;3.3023881
Kepler-18 b;0;0.0217;0.179;3.504725
Kepler-18 c;0;0.054;0.49;7.64159
Kepler-18 d;0;0.052;0.62;14.85888
HAT-P-19 b;0;0.292;1.109;4.0087844
EPIC 204221263 b;0;0.0378;0.138;4.01593
EPIC 204221263 c;0;0.031;0.216;10.56103
Kepler-4 b;0;0.077;0.357;3.21346
KELT-7 b;0;28.jan;1.533;2.7347749
HATS-32 b;0;0.92;1.249;2.8126548
WASP-133 b;0;16.jan;21.jan;2.176423
HAT-P-7 b;2;1.709;1.4588;2.204737
HAT-P-3 b;0;0.591;0.827;2.899703
CoRoT-12 b;0;0.917;1.44;2.828042
HAT-P-18 b;0;0.196;0.947;5.507978
CoRoT-19 b;0;11.jan;1.45;3.89713
Kepler-447 b;0;1.37;1.65;7.79430132
WASP-111 b;0;1.83;1.442;2.310965
Kepler-74 b;0;0.63;0.96;7.340711
WASP-59 b;0;0.863;0.775;7.919585
WASP-126 b;0;0.28;0.96;3.2888
Kepler-5 b;0;2.114;1.431;3.54846
WASP-77 A b;2;1.76;21.jan;1.3600309
HATS-33 b;0;1.192;23.jan;2.5495551
Qatar-4 b;0;5.85;1.552;1.8053949
HAT-48 b;0;0.168;1.131;4.40865
WASP-56 b;0;0.571;1.092;4.617101
CoRoT-1 b;0;03.jan;1.49;1.5089557
Kepler-68 b;2;0.026;0.206;5.398763
Kepler-68 c;2;0.015;0.085;9.605085
WASP-120 b;0;01.máj;1.515;3.6112706
Kepler-76 b;0;01.febr;1.36;1.54492875
CoRoT-17 b;0;2.45;02.jan;3.768125
WASP-136 b;0;1.51;1.38;5.215357
Lupus-TR 3b;0;0.81;0.89;3.91405
Kepler-435 b;0;0.84;1.99;8.6001536
WASP-32 b;0;06.márc;19.jan;2.718659
2M 0746+20 b;0;30;0.97;4640
HAT-P-15 b;0;1.946;1.072;10.863502
HATS-21 b;0;0.332;1.123;3.5543973
WASP-61 b;0;06.febr;24.jan;3.8559
WASP-89 b;0;09.máj;04.jan;3.3564227
WASP-36 b;0;2.279;1.269;1.5373653
WASP-67 b;0;0.42;04.jan;4.61442
HAT-P-66 b;0;0.783;1.59;2.972086
KOI-680 b;0;0.84;1.99;8.6001536
KELT-2A b;2;1.524;29.jan;4.1137913
KELT-4A b;2;0.902;1.699;2.9895936
OGLE2-TR-L9 b;0;4.34;1.614;2.4855335
K2-77 b;0;09.jan;0.205;8.199796
HAT-P-41 b;0;0.8;1.685;2.69404
EPIC 216468514 b;0;0.84;1.44;3.31392
WASP-48 b;0;0.98;1.67;2.143634
WASP-5 b;0;1.637;1.171;1.6284246
HATS-12 b;0;04.febr;1.35;3.142833
HAT-P-23 b;0;09.febr;1.368;1.212884
Kepler-412 b;0;0.939;1.325;1.720861232
OGLE-TR-211 b;0;0.75;26.jan;3.67724
CoRoT-8 b;0;0.22;0.57;6.21229
WASP-122 b;0;1.372;1.972;1.7100567
HAT-P-21 b;0;4.063;1.024;4.124461
HAT-P-67 b;0;0.34;2.085;4.81010205
HAT-P-34 b;0;3.328;1.197;5.4527
